繁體中文,簡體中文,English,日本語
Comm/CanvasOn,關卡名稱,level name,ステージ名
Comm/FightStopTimer,关卡叙述,level Desc,ステージ説明
Comm/SetSpeaker/道士,關卡名稱aasasa,關卡名稱aasasa,關卡名稱aasasa
擊破一層血量，太好了，效果十分顯著！,關卡名稱;olkijuhygtr,關卡名稱;olkijuhygtr,關卡名稱;olkijuhygtr
Comm/SetSpeaker/?,關卡名稱thn,關卡名稱thn,關卡名稱thn
哇靠你個神棍死去哪了,關卡名稱mrdase,關卡名稱mrdase,關卡名稱mrdase
Comm/SetSpeaker/道士,關卡名稱rtgh,關卡名稱rtgh,關卡名稱rtgh
並非神棍，哎呀施主，生氣可不行，這可犯了嗔的大忌,關卡名稱tehsye,關卡名稱tehsye,關卡名稱tehsye
貧道在此帶來一條重磅消息,關卡名稱wgethsgd,關卡名稱wgethsgd,關卡名稱wgethsgd
Comm/SetSpeaker/「貪」凱倫,關卡名稱ewegr,關卡名稱ewegr,關卡名稱ewegr
更多…更多！！！,關卡名稱hfthetrhy,關卡名稱hfthetrhy,關卡名稱hfthetrhy
Comm/SetSpeaker/道士,關卡名稱vcbfhm,關卡名稱vcbfhm,關卡名稱vcbfhm
隨著時間過去，每回合湧入的怪物會越來越多！,Comm/GoNextNode,Comm/GoNextNode,Comm/GoNextNode
Comm/SetSpeaker/?,觀察盾牌間的縫隙，複製斜向的能力便可輕鬆將其擊殺,觀察盾牌間的縫隙，複製斜向的能力便可輕鬆將其擊殺,觀察盾牌間的縫隙，複製斜向的能力便可輕鬆將其擊殺
那還真是謝謝你的情報了，真有幫助,Comm/SetSpeaker/?,Comm/SetSpeaker/?,Comm/SetSpeaker/?
Comm/Clear,Comm/ChoiceQuestion/2/原來如此/N/是這麼回事？/N,Comm/ChoiceQuestion/2/原來如此/N/是這麼回事？/N,Comm/ChoiceQuestion/2/原來如此/N/是這麼回事？/N
Comm/FightStartTimer,Comm/SetSpeaker/道士,Comm/SetSpeaker/道士,Comm/SetSpeaker/道士
Comm/CanvasOff,多利用「草人戲法」來嘗試側切、找到方向吧！,多利用「草人戲法」來嘗試側切、找到方向吧！,多利用「草人戲法」來嘗試側切、找到方向吧！
Comm/GoNextNode,Comm/FightStartTimer,Comm/FightStartTimer,Comm/FightStartTimer
,Comm/CanvasOff,Comm/CanvasOff,Comm/CanvasOff
,Comm/GoNextNode,Comm/GoNextNode,Comm/GoNextNode
