繁體中文,簡體中文,English,日本語
Comm/CanvasOn,關卡名稱,level name,ステージ名
Comm/FightStopTimer,关卡叙述,level Desc,ステージ説明
Comm/SetSpeaker/道士,關卡名稱aasasa,關卡名稱aasasa,關卡名稱aasasa
阿… 我們終於到了，夢境的最深處,關卡名稱;olkijuhygtr,關卡名稱;olkijuhygtr,關卡名稱;olkijuhygtr
不用擔心，貧道不會離開你的,關卡名稱thn,關卡名稱thn,關卡名稱thn
Comm/SetSpeaker/?,關卡名稱mrdase,關卡名稱mrdase,關卡名稱mrdase
欸欸欸幹那三小，超大隻的,關卡名稱rtgh,關卡名稱rtgh,關卡名稱rtgh
欸欸欸衝三小衝三小，他亮血條啦，發瘋啦發瘋啦,關卡名稱tehsye,關卡名稱tehsye,關卡名稱tehsye
Comm/SetSpeaker/道士,關卡名稱wgethsgd,關卡名稱wgethsgd,關卡名稱wgethsgd
施主切勿心慌，只要斬破它的召喚物，就可以壓低它的血線,關卡名稱ewegr,關卡名稱ewegr,關卡名稱ewegr
貧道也會用力給您加油打氣的,關卡名稱hfthetrhy,關卡名稱hfthetrhy,關卡名稱hfthetrhy
嗚呼哀哉！貧道要烙跑啦,關卡名稱vcbfhm,關卡名稱vcbfhm,關卡名稱vcbfhm
Comm/SetSpeaker/?,Comm/GoNextNode,Comm/GoNextNode,Comm/GoNextNode
????,觀察盾牌間的縫隙，複製斜向的能力便可輕鬆將其擊殺,觀察盾牌間的縫隙，複製斜向的能力便可輕鬆將其擊殺,觀察盾牌間的縫隙，複製斜向的能力便可輕鬆將其擊殺
Comm/SetSpeaker/「貪」凱倫,Comm/SetSpeaker/?,Comm/SetSpeaker/?,Comm/SetSpeaker/?
客訴… 我要客訴！！！！！！！！！！,Comm/ChoiceQuestion/2/原來如此/N/是這麼回事？/N,Comm/ChoiceQuestion/2/原來如此/N/是這麼回事？/N,Comm/ChoiceQuestion/2/原來如此/N/是這麼回事？/N
Comm/SetSpeaker/?,Comm/SetSpeaker/道士,Comm/SetSpeaker/道士,Comm/SetSpeaker/道士
哇啊啊啊啊啊啊啊啊啊啊啊,多利用「草人戲法」來嘗試側切、找到方向吧！,多利用「草人戲法」來嘗試側切、找到方向吧！,多利用「草人戲法」來嘗試側切、找到方向吧！
Comm/Clear,Comm/FightStartTimer,Comm/FightStartTimer,Comm/FightStartTimer
Comm/SetImage/2/Karen_Introduce_bg,Comm/CanvasOff,Comm/CanvasOff,Comm/CanvasOff
.,Comm/GoNextNode,Comm/GoNextNode,Comm/GoNextNode
Comm/FightStartTimer,,,
Comm/CanvasOff,,,
Comm/GoNextNode,,,
