繁體中文,簡體中文,English,日本語
Comm/CanvasOn,關卡名稱,level name,ステージ名
Comm/FightStopTimer,关卡叙述,level Desc,ステージ説明
Comm/SetSpeaker/道士,關卡名稱aasasa,關卡名稱aasasa,關卡名稱aasasa
看吶，那是鳥？是飛機？不，那是,關卡名稱;olkijuhygtr,關卡名稱;olkijuhygtr,關卡名稱;olkijuhygtr
盾牌！,關卡名稱thn,關卡名稱thn,關卡名稱thn
Comm/SetSpeaker/?,關卡名稱mrdase,關卡名稱mrdase,關卡名稱mrdase
?,關卡名稱rtgh,關卡名稱rtgh,關卡名稱rtgh
Comm/SetSpeaker/道士,關卡名稱tehsye,關卡名稱tehsye,關卡名稱tehsye
沒錯，正是盾牌，一個在棋類遊戲裡面的盾牌，普通雜念望塵莫及的強大能力！,關卡名稱wgethsgd,關卡名稱wgethsgd,關卡名稱wgethsgd
Comm/SetSpeaker/?,關卡名稱ewegr,關卡名稱ewegr,關卡名稱ewegr
???,關卡名稱hfthetrhy,關卡名稱hfthetrhy,關卡名稱hfthetrhy
Comm/SetSpeaker/道士,關卡名稱vcbfhm,關卡名稱vcbfhm,關卡名稱vcbfhm
盾牌能夠阻擋來自特定方向的攻擊，而破局的方法便在其中,Comm/GoNextNode,Comm/GoNextNode,Comm/GoNextNode
觀察盾牌間的縫隙，複製斜向的能力便可輕鬆將其擊殺,觀察盾牌間的縫隙，複製斜向的能力便可輕鬆將其擊殺,觀察盾牌間的縫隙，複製斜向的能力便可輕鬆將其擊殺,觀察盾牌間的縫隙，複製斜向的能力便可輕鬆將其擊殺
Comm/SetSpeaker/?,Comm/SetSpeaker/?,Comm/SetSpeaker/?,Comm/SetSpeaker/?
Comm/ChoiceQuestion/2/原來如此/N/是這麼回事？/N,Comm/ChoiceQuestion/2/原來如此/N/是這麼回事？/N,Comm/ChoiceQuestion/2/原來如此/N/是這麼回事？/N,Comm/ChoiceQuestion/2/原來如此/N/是這麼回事？/N
Comm/SetSpeaker/道士,Comm/SetSpeaker/道士,Comm/SetSpeaker/道士,Comm/SetSpeaker/道士
多找看看不同的角度，也許會是破局的關鍵。,多利用「草人戲法」來嘗試側切、找到方向吧！,多利用「草人戲法」來嘗試側切、找到方向吧！,多利用「草人戲法」來嘗試側切、找到方向吧！
試著去利用「草人戲法」來嘗試側切、找到方向吧！,Comm/FightStartTimer,Comm/FightStartTimer,Comm/FightStartTimer
Comm/FightStartTimer,Comm/CanvasOff,Comm/CanvasOff,Comm/CanvasOff
Comm/CanvasOff,Comm/GoNextNode,Comm/GoNextNode,Comm/GoNextNode
Comm/GoNextNode,,,
